direction,item,source_system,object,columns,key,timestamp,refresh,used_by,quality_risk,status,evidence
"내부상태","ETL 실행 이력(감사)","Postgres","etl_run_log","kpi_key; business_date; started_at; finished_at; status(RUNNING/OK/PARTIAL/FAILED); rows_written; error_text","run_id (BIGSERIAL)","started_at/finished_at = 추출 실행 시각(UTC)","추출기 실행마다 INSERT+UPDATE (90초~1일)","운영 진단(직접 조회) — API 엔드포인트 미노출","보존/파티셔닝 정책 없음 — 무한 증가","확인","db/migrations/0001_run_log.sql:5-16; crates/extractor/src/db.rs:17-70"
"내부상태","시나리오 수집 실행 상태","Postgres (scenario 스키마)","scenario.gen_run","kind; state; phase; window_start/end; progress; load_stats; collection; health; error_text","run_id","started_at / updated_at / finished_at","scengen 틱마다(수집 10분·enrich 15분·snapshot 4시간)","GET /api/scenario/status, /api/scenario/runs (포트 8899)","인증 없는 엔드포인트로 노출","확인","db/migrations/0093_scenario.sql:26-45; crates/scengen/src/serve.rs:47-78"
"내부상태","시나리오 이벤트 저널","Postgres (scenario 스키마)","scenario.gen_event","run_id; ts; level(info/warn/error); kind(query/chunk/heartbeat/skip/tick_failed); payload JSONB","event_id","ts = 이벤트 발생 시각","append-only · 틱 내 수시","운영 진단(직접 조회), 캡 도달 경보","보존정책 미정의(gen_run 삭제 시 CASCADE만)","확인","db/migrations/0093_scenario.sql:47-55; crates/scengen/src/state.rs:51-60"
"출력","Stage-2 매칭 권고(트럭→작업)","wp-api 내부 매처 → Postgres","stage2_match_shadow","ts; tick; ytno; qc; vessel; queuename; jobtype; src_block; veh_state; arrival_s; od_p90_s; deadline_slack_s; feasible; cost_tier; switched; dest_lat; dest_lon; src_lat; src_lon","(ts, ytno)","ts = 추천 tick 시각","60초 (spawn_stage2_shadow, GPS 미연결 틱은 스킵) · 21일 보존","/api/stage2/advisory·shadow, /api/health/dispatch → Stage2Page·TtPage·LiveMapPage; 다음 tick 안티스래싱","그림자 전용(실배차 미연결); 컨테이너번호·작업지시 ID(MSNSEQ)가 없어 TOS에 '어느 작업지시'인지 지목 불가; cost_tier 스키마 주석(L2 225m 격자)이 현재 코드(R/L3)와 불일치","확인","crates/api/src/livemap.rs:4465-4474; db/migrations/0052_stage2_match_shadow.sql:5-22; crates/api/src/workpool.rs:796-822"
"결과피드백","솔버 성능(그리디 대비)","wp-api 내부 매처 → Postgres","stage2_solver_shadow","n_trucks; n_works; greedy_n; greedy_cost_s; optimal_n; optimal_cost_s; gap_pct; greedy_miss; optimal_miss","ts","ts","60초 · 21일 보존","/api/stage2/shadow의 savings_pct, /api/health/dispatch","greedy는 실제로 쓰이지 않는 가상 베이스라인; gap_pct=(greedy-opt)/opt와 savings_pct=(greedy-opt)/greedy 두 정의가 코드에 공존","확인","crates/api/src/livemap.rs:4477-4484; crates/api/src/workpool.rs:921-928"
"결과피드백","TOS 실제 배차 vs 우리 권고(작업별)","wp-api → Postgres","dispatch_compare_shadow","qc; queuename; jobtype; tos_ytno; tos_arrival_s; our_ytno; our_arrival_s; agree; reason; delta_s; tos_upd","(qc, queuename, tos_ytno, tos_upd)","tos_upd = TOS 배차시각","60초 (spawn_dispatch_compare) · 21일 보존","/api/stage2/compare, compare-picks → Stage2Page, LiveMapPage 작업지점 핀","작업별 독립 최근접 선택이라 동일 트럭 중복 선택 가능 → 우리 우위 과대평가(코드도 optimistic 명시); reason='now' 행은 집계 제외","확인","crates/api/src/livemap.rs:4585-4612; db/migrations/0058_dispatch_compare_shadow.sql:1-19; crates/api/src/workpool.rs:1310"
"결과피드백","공정 1:1 최적매칭 비교","wp-api → Postgres","fair_compare_shadow / fair_compare_detail","window_min; n; tos_total_s; our_total_s; savings_pct; same_n / jobtype; qc; tos_s; our_s","ts","ts","5분 (창 15분) · 21일/7일 보존","/api/stage2/fair-compare, fair-breakdown → Stage2Page","n<4면 스킵, MAX_N=120 표본 절단; 절감이 거의 전부 원거리 교정에서 발생한다고 화면·문서가 스스로 한계 명시","확인","crates/api/src/livemap.rs:4930-5000; db/migrations/0061_fair_compare_shadow.sql:1-13; db/migrations/0064_fair_compare_detail.sql:1-20"
"결과피드백","Stage-1 예측 검증 로그","wp-api → Postgres","dispatch_pred_sample","qc; vessel; contno; queuename; jobtype; pred_work_eta_ts; dispatch_deadline_ts; assigned; slack_s; lead_s; became_assigned_at; tos_upd_dt; etw_qc_ts","행 단위(컨테이너 1회 로깅)","logged_at / pred_work_eta_ts","120초 (spawn_dispatch_pred_logger) · 21일 보존","learn_work_eta_bias 학습, /api/learn/dispatch-pred → LearnPage","QC별 front 6건만 표본","확인","crates/api/src/workpool.rs:730-760"
"결과피드백","맵매칭 도착 섀도","GPS × 도로망 경로 투영 → Postgres","mm_arrival_shadow","leg_dur_s; route_m; progress_frac; min_dest_m; saw_arrived; max_gap_s; max_jump_m","id(bigserial), ytno + dest_topos","logged_at (수신 기준)","leg 전환 시(5초 틱 평가)","도착 포착 개선 측정","섀도 전용 — 라이브 도착 판정·배차에 미반영(구현됨과 활성화됨을 구분 필요)","확인","db/migrations/0090_mm_arrival_shadow.sql:1-19; crates/api/src/livemap.rs:1834-1841; crates/api/src/livemap.rs:1936-1940"
"출력","라이브 위치 스냅샷 API","인메모리 devices 맵","GET /api/livemap/positions","id; cls; lat; lon; speed; engine; age_s; jobtype; container1/2; cur_loc; topos1; arrival; accuracy; dispatch; free_in_s; plc; userid","device id","as_of = 마지막 수신 메시지 시각(last_msg_ms)","프론트 폴링(라이브맵 2.5초, TT 풀 15초)","LiveMapPage, TtPage, LiveVehicleDetail","120초 초과 장비는 응답에서 제외(빈자리=침묵); 인증 없음; 운전자 userid 무마스킹 포함","확인","crates/api/src/livemap.rs:1038-1130; crates/api/src/livemap.rs:1242-1246; crates/api/src/livemap.rs:1120"
"출력","GPS 피드 건강 신호","인메모리 카운터","GET /api/livemap/health","color; connected; connected_for_s; last_msg_age_s; messages_total; reconnects; last_error; rate_per_min; sparkline[30]; fresh/stale/lost; by_class; avg_accuracy_m; plc_*","없음(스냅샷)","last_message_at (수신 기준)","프론트 1.5~5초 폴링 · 요청 시 계산","전역 OutageBanner, 지도 3모드, HealthPill, FeedHealthPage","프로세스 재기동 시 카운터 초기화(영속 저장 없음); /api/health(일 ETL)와 혼용 금지; TOS 추출기만 죽은 경우는 이 배너가 뜨지 않음","확인","crates/api/src/livemap.rs:1366-1460; web/src/App.tsx:63-90"
"출력","KPI별 데이터 신선도","Postgres","data_freshness → GET /api/health","last_success_date; last_success_at; last_attempt_at; last_status; is_stale","kpi_key (PK)","last_success_at = 마지막 성공 시각","추출 종료 시 upsert","대시보드 HealthPage","일 단위 ETL 신호라 실시간 장애 판정에 부적합(App.tsx 주석 명시)","확인","db/migrations/0001_run_log.sql:19-26; crates/api/src/routes.rs:469-490"
"출력","배차 엔진 헬스","Postgres 그림자 테이블 집계","GET /api/health/dispatch","up(배차 틱 age<120초); thrash; feasible; savings","없음(스냅샷)","최근 tick ts","프론트 15초 폴링","HealthPage","readiness/liveness 구분 없음; Oracle 미러 신선도는 판정에 미포함","확인","crates/api/src/main.rs:45-75; crates/api/src/workpool.rs:880-960"
"출력","시나리오/에뮬레이터 JSON","Postgres scenario 스키마","GET /api/scenario/download/:kind (포트 8899)","assemble::build 결과 (scenario, emulator)","window_start / window_end","comp_ts, snapshot_ts","온디맨드 동기 조립 (수집은 collect 10분·snapshot 4시간·enrich 15분)","브라우저 파일 다운로드","대시보드 API에 마운트되지 않음(마이그레이션 주석의 '/sim UI' 서술은 사실과 다름); 실배차와 완전 분리; 무인증","확인","crates/scengen/src/serve.rs:86-115; crates/scengen/src/assemble.rs; db/migrations/0093_scenario.sql:1-8; crates/api/src/main.rs:43-79"
"출력","TOS 쓰기(배차 지시 write-back)","해당 없음","없음","해당 없음","해당 없음","해당 없음","해당 없음","해당 없음","TOSADM 대상 INSERT/UPDATE/DELETE/MERGE·PL-SQL 호출이 저장소 전체 검색에서 0건. 다만 run_sql은 임의 SQL을 외부 스크립트에 그대로 넘기며 DML 거부 가드가 없어 읽기전용은 구조적 보장이 아님(외부 스크립트·계정 권한은 저장소로 검증 불가)","미확인","crates/extractor/src/runner.rs:41-72; crates/scengen/src/toolbox.rs:44-74; crates/api/src/main.rs:1-3"
"출력","운영자 채택·거부 피드백","해당 없음","없음","해당 없음","해당 없음","해당 없음","해당 없음","해당 없음","Override/Swap 채택·거부를 수집하는 코드·테이블이 없음(web/src에 POST/PUT/DELETE fetch 0건). 롤아웃 게이트 기준인 '현장 거부율'을 현재 데이터로 측정 불가","확인","web/src/api.ts:298; web/src/TtPage.tsx:167-227; kc/dispatch/stage2-rollout.html"
"출력","외부 시스템 내보내기(DigiPort·KPI 계층)","해당 없음","없음","해당 없음","해당 없음","해당 없음","해당 없음","해당 없음","webhook/kafka/mqtt/S3/FTP/이메일/CSV export 코드·계약 0건; OpenAPI/AsyncAPI/JSON Schema 산출물도 0건(utoipa는 선언만 되고 사용 0)","확인","Cargo.toml:32; crates/api/src/main.rs:43-79; deploy/systemd/"
